"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USW00092811","MIAMI BEACH, FL US","2022-01-27","0.0",",,7,0700","20.6",",,7","17.2",",,7","18.9",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-01-28","0.0",",,7,0700","21.1",",,7","17.8",",,7","20.0",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-01-29","0.0",",,7,0700","23.9",",,7","20.0",",,7","21.7",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-01-30","0.0",",,7,0700","22.2",",,7","19.4",",,7","20.6",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-01-31","0.0",",,7,0700","22.8",",,7","20.6",",,7","21.1",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-02-01","0.0",",,7,0700","21.1",",,7","1.1",",,7","2.2",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-02-02","0.0",",,7,0700",,,,,,
"USW00092811","MIAMI BEACH, FL US","2022-02-03","0.0",",,7,0700","22.2",",,7","16.7",",,7","20.6",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-02-04","0.0",",,7,0700","23.9",",,7","20.0",",,7","21.1",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-02-05","0.0",",,7,0700","21.1",",,7","18.3",",,7","19.4",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-02-06","0.0",",,7,0700","20.6",",,7","15.0",",,7","16.1",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-02-07","0.0",",,7,0700","19.4",",,7","16.1",",,7","18.3",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-02-08","0.0",",,7,0700","18.3",",,7","15.6",",,7","16.7",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-02-09","0.0",",,7,0700","17.8",",,7","14.4",",,7","16.1",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-02-10","0.0",",,7,0700","16.7",",,7","10.0",",,7","12.8",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-02-11","6.4",",,7,0700","17.8",",,7","12.8",",,7","17.8",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-02-12","0.0",",,7,0700","23.9",",,7","17.8",",,7","21.1",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-02-13","0.0",",,7,0700","21.1",",,7","15.6",",,7","18.3",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-02-14","0.0",",,7,0700","21.1",",,7","18.3",",,7","20.0",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-02-15","0.0",",,7,0700","22.8",",,7","18.9",",,7","21.1",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-02-16","0.0",",,7,0700","21.1",",,7","18.9",",,7","20.0",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-02-17","0.0",",,7,0700","22.2",",,7","19.4",",,7","20.6",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-02-18","0.0",",,7,0700","23.3",",,7","20.0",",,7","21.1",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-02-19","0.0",",,7,0700","21.1",",,7","18.3",",,7","20.0",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-02-20","0.0",",,7,0700","22.8",",,7","20.0",",,7","21.1",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-02-21","0.0",",,7,0700","21.7",",,7","18.9",",,7","20.0",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-02-22","0.0",",,7,0700","23.3",",,7","20.0",",,7","22.2",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-02-23","0.0",",,7,0700","22.2",",,7","18.9",",,7","20.0",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-02-24","0.0",",,7,0700","20.0",",,7","18.3",",,7","19.4",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-02-25","0.0",",,7,0700","22.2",",,7","19.4",",,7","21.1",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-02-26","0.0",",,7,0700","23.9",",,7","21.1",",,7","22.8",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-02-27","0.0",",,7,0700","24.4",",,7","22.2",",,7","23.3",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-02-28","0.0",",,7,0700","23.3",",,7","20.0",",,7","21.1",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-04-01","0.0",",,7,0700","28.3",",,7","23.9",",,7","26.7",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-04-02","0.0",",,7,0700","26.7",",,7","18.3",",,7","19.4",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-04-03","0.0",",,7,0700","23.3",",,7","19.4",",,7","21.1",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-04-04","3.8",",,7,0700","23.9",",,7","21.1",",,7","22.2",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-04-05","0.0",",,7,0700","25.0",",,7","22.2",",,7","23.3",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-04-06","0.0",",,7,0700","25.6",",,7","22.8",",,7","23.9",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-04-07","0.0",",,7,0700","27.8",",,7","23.9",",,7","23.9",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-04-08","0.0",",,7,0700","24.4",",,7","21.1",",,7","22.2",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-04-09","0.0",",,7,0700","22.2",",,7","17.8",",,7","18.9",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-04-10","0.0",",,7,0700","18.9",",,7","10.0",",,7","11.7",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-04-11","0.0",",,7,0700","20.6",",,7","11.7",",,7","18.9",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-04-12","0.0",",,7,0700","22.2",",,7","18.9",",,7","20.0",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-04-13","0.0",",,7,0700","23.3",",,7","20.0",",,7","21.1",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-04-14","0.0",",,7,0700","22.2",",,7","18.9",",,7","20.0",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-04-15","0.0",",,7,0700","23.9",",,7","20.0",",,7","22.2",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-04-16","5.1",",,7,0700","25.0",",,7","21.7",",,7","23.3",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-04-17","0.0",",,7,0700","23.9",",,7","20.6",",,7","22.8",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-04-18","0.0",",,7,0700","24.4",",,7","21.1",",,7","23.3",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-04-19","0.0",",,7,0700","29.4",",,7","23.3",",,7","27.2",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-04-20","0.0",",,7,0700","27.2",",,7","20.0",",,7","21.1",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-04-21","0.0",",,7,0700","23.3",",,7","20.0",",,7","21.1",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-04-22","2.5",",,7,0700","21.7",",,7","16.7",",,7","18.3",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-04-23","0.0",",,7,0700","21.1",",,7","18.3",",,7","20.0",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-04-24","0.0",",,7,0700","23.3",",,7","20.0",",,7","22.2",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-04-25","0.0",",,7,0700","22.8",",,7","20.0",",,7","21.1",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-04-26","0.0",",,7,0700","23.9",",,7","20.6",",,7","22.2",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-04-27","0.0",",,7,0700","22.2",",,7","18.3",",,7","20.0",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-04-28","0.0",",,7,0700","22.8",",,7","18.9",",,7","21.1",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-04-29","0.0",",,7,0700","22.2",",,7","19.4",",,7","20.0",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-04-30","13.0",",,7,0700","23.3",",,7","20.0",",,7","22.2",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-05-01","27.9",",,7,0700","23.9",",,7","21.1",",,7","22.2",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-05-02","20.3",",,7,0700","25.0",",,7","22.2",",,7","23.3",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-05-03","0.0",",,7,0700","23.3",",,7","19.4",",,7","21.1",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-05-04","0.0",",,7,0700","23.9",",,7","21.1",",,7","22.2",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-05-05","27.9",",,7,0700","23.3",",,7","20.0",",,7","21.7",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-05-06","0.0",",,7,0700","23.9",",,7","21.1",",,7","22.2",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-05-07","0.0",",,7,0700","25.6",",,7","22.2",",,7","23.9",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-05-08","0.0",",,7,0700","23.9",",,7","18.3",",,7","20.6",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-05-09","10.2",",,7,0700","23.3",",,7","20.0",",,7","21.7",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-05-10","0.0",",,7,0700","21.7",",,7","17.8",",,7","20.0",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-05-11","0.0",",,7,0700","20.0",",,7","16.1",",,7","17.8",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-05-12","0.0",",,7,0700","21.1",",,7","17.8",",,7","20.0",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-05-13","0.0",",,7,0700","21.7",",,7","18.9",",,7","20.0",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-05-14","1.8",",,7,0700","23.9",",,7","20.0",",,7","22.2",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-05-15","0.0",",,7,0700","25.0",",,7","21.1",",,7","22.8",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-05-16","5.1",",,7,0700","29.4",",,7","22.8",",,7","22.8",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-05-17","6.9",",,7,0700","24.4",",,7","21.7",",,7","22.2",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-05-18","0.0",",,7,0700","24.4",",,7","21.1",",,7","22.8",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-05-19","0.0",",,7,0700","25.6",",,7","22.2",",,7","23.9",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-05-20","13.5",",,7,0700","28.9",",,7","23.9",",,7","26.7",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-05-21","0.0",",,7,0700","26.7",",,7","22.8",",,7","24.4",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-05-22","0.0",",,7,0700","25.6",",,7","22.2",",,7","23.9",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-05-23","0.0",",,7,0700","26.7",",,7","23.9",",,7","25.6",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-05-24","0.0",",,7,0700","26.1",",,7","22.8",",,7","23.9",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-05-25","0.0",",,7,0700","25.0",",,7","22.2",",,7","23.3",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-05-26","0.0",",,7,0700","25.6",",,7","23.3",",,7","24.4",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-05-27","0.0",",,7,0700","25.6",",,7","22.2",",,7","23.9",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-05-28","0.0",",,7,0700","24.4",",,7","22.2",",,7","23.3",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-05-29","0.0",",,7,0700","25.6",",,7","22.8",",,7","24.4",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-05-30","52.1",",,7,0700","24.4",",,7","21.1",",,7","22.2",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-05-31","29.2",",,7,0700","24.4",",,7","16.1",",,7","18.3",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-06-01","0.0",",,7,0700","22.2",",,7","18.3",",,7","20.0",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-06-02","0.0",",,7,0700","23.9",",,7","20.0",",,7","22.2",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-06-03","101.6",",,7,0700","24.4",",,7","21.1",",,7","22.2",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-06-04","279.4",",,7,0700","25.6",",,7","22.2",",,7","23.3",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-06-05","35.1",",,7,0700","23.3",",,7","19.4",",,7","21.1",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-06-06","0.0",",,7,0700","21.1",",,7","18.3",",,7","20.0",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-06-07","0.0",",,7,0700","22.2",",,7","18.9",",,7","20.6",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-06-08","0.0",",,7,0700","23.3",",,7","20.0",",,7","21.1",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-06-09","0.0",",,7,0700","21.7",",,7","18.3",",,7","20.0",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-06-10","35.3",",,7,0700","21.1",",,7","17.8",",,7","18.9",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-06-11","56.6",",,7,0700","23.9",",,7","18.9",",,7","22.2",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-06-12","0.0",",,7,0700","25.0",",,7","21.7",",,7","23.3",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-06-13","0.0",",,7,0700","26.7",",,7","23.3",",,7","25.0",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-06-14","0.0",",,7,0700","29.4",",,7","25.0",",,7","27.2",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-06-15","0.0",",,7,0700","27.2",",,7","25.0",",,7","25.0",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-06-16","0.0",",,7,0700","28.9",",,7","25.0",",,7","26.7",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-06-17","0.0",",,7,0700","28.3",",,7","23.9",",,7","26.1",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-06-18","17.3",",,7,0700","26.7",",,7","23.9",",,7","25.6",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-06-19","43.2",",,7,0700","26.1",",,7","22.8",",,7","23.9",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-06-20","0.0",",,7,0700","26.7",",,7","23.9",",,7","25.0",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-06-21","0.0",",,7,0700","27.8",",,7","23.9",",,7","26.1",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-06-22","7.9",",,7,0700","28.9",",,7","25.0",",,7","26.7",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-06-23","0.0",",,7,0700","26.7",",,7","22.2",",,7","23.9",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-06-24","0.0",",,7,0700","26.7",",,7","23.3",",,7","25.0",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-06-25","0.0",",,7,0700","27.8",",,7","23.9",",,7","25.6",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-06-26","0.0",",,7,0700","25.6",",,7","22.2",",,7","23.9",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-06-27","0.0",",,7,0700","26.7",",,7","23.9",",,7","25.6",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-06-28","0.0",",,7,0700","27.2",",,7","23.9",",,7","25.6",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-06-29","0.0",",,7,0700","29.4",",,7","25.6",",,7","26.7",",,7,0700"
"USW00092811","MIAMI BEACH, FL US","2022-06-30","0.0",",,7,0700","31.1",",,7","26.7",",,7","28.9",",,7,0700"
